Query-Id,Query,Query-Category,System-Output,Remarks
Q1,Why did the customer ask for a supervisor multiple times?,Escalation Reason,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Repeated unresolved issue (observed in 5 conversations) 2. Issue not resolved (observed in 5 conversations)  🧾 Supporting Evidence: - [2499-5325-9436-1435 | Turn 3] Customer: ""I've already explained this to five different people. Each time I'm told it's fixed, but it's not."" - [2499-5325-9436-1435 | Turn 11] Customer: ""No, nothing has changed. I've been using this same system refresh without problems for a long time."" - [3979-8972-5204-5001 | Turn 3] Customer: ""I've already explained this to six different people. Each time I'm told it's fixed, but it's not."" - [3979-8972-5204-5001 | Turn 11] Customer: ""No, nothing has changed. I've been using this same system refresh without problems for a long time.""  📝 Final Summary: The escalation occurred primarily due to Repeated unresolved issue, Issue not resolved, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q2,Was it because the agent refused a refund?,Policy Constraint,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Threat of legal action (observed in 5 conversations)  🧾 Supporting Evidence: - [9705-5299-8561-3615 | Turn 3] Customer: ""What happened is that your company keeps sending defective items. I've been patient, but this is ridiculous. My lawyer has advised me to document everything."" - [2525-2662-5687-1677 | Turn 3] Customer: ""What happened is that your company keeps sending defective items. I've been patient, but this is ridiculous. My lawyer has advised me to document everything.""  📝 Final Summary: The escalation occurred primarily due to Threat of legal action, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q3,Did repeated transfers cause the escalation?,Operational Failure,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Repeated unresolved issue (observed in 5 conversations) 2. Issue not resolved (observed in 5 conversations)  🧾 Supporting Evidence: - [7477-4569-7509-1808 | Turn 3] Customer: ""I've already explained this to multiple different people. Each time I'm told it's fixed, but it's not."" - [7477-4569-7509-1808 | Turn 11] Customer: ""No, nothing has changed. I've been using this same external account without problems for a long time."" - [7991-1033-3479-1262 | Turn 3] Customer: ""I've already explained this to multiple different people. Each time I'm told it's fixed, but it's not."" - [7991-1033-3479-1262 | Turn 11] Customer: ""No, nothing has changed. I've been using this same verification process without problems for a long time.""  📝 Final Summary: The escalation occurred primarily due to Repeated unresolved issue, Issue not resolved, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q4,Was legal action mentioned by the customer?,Threat Detection,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Threat of legal action (observed in 5 conversations)  🧾 Supporting Evidence: - [4784-4891-9530-4342 | Turn 3] Customer: ""What happened is that your company keeps sending damaged products. I've been patient, but this is ridiculous. My lawyer has advised me to document everything."" - [4293-9862-6794-8165 | Turn 9] Customer: ""Fine. But if this doesn't get resolved today, I'm moving forward with legal action.""  📝 Final Summary: The escalation occurred primarily due to Threat of legal action, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q5,Did unresolved technical issues lead to escalation?,Technical Issue,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Threat of legal action (observed in 5 conversations)  🧾 Supporting Evidence: - [2016-1690-6035-7843 | Turn 9] Customer: ""Fine. But if this doesn't get resolved today, I'm moving forward with legal action."" - [4549-3451-8573-4989 | Turn 9] Customer: ""Fine. But if this doesn't get resolved today, I'm moving forward with legal action.""  📝 Final Summary: The escalation occurred primarily due to Threat of legal action, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q6,Was the agent unable to resolve the issue?,Agent Performance,=== Explanation === 📌 Outcome: NOT_ESCALATION 📊 Confidence: LOW  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 0.0 🧠 Faithfulness (Hallucination Control): 0.0 🎯 Relevancy (Conversational Coherence): 0.0,"IDRecall, Faithfulness, Relevancy auto-computed"
Q7,Did long wait times contribute to escalation?,Service Delay,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Threat of legal action (observed in 5 conversations)  🧾 Supporting Evidence: - [6584-4823-9831-8416 | Turn 3] Customer: ""What happened is that your company keeps sending missing itemss. I've been patient, but this is ridiculous. I've already spoken to a consumer protection lawyer."" - [5798-1198-4201-1549 | Turn 9] Customer: ""Fine. But if this doesn't get resolved today, I'm moving forward with legal action.""  📝 Final Summary: The escalation occurred primarily due to Threat of legal action, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q8,Was the escalation emotionally driven?,Sentiment,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Threat of legal action (observed in 5 conversations)  🧾 Supporting Evidence: - [4771-7229-5923-9439 | Turn 3] Customer: ""What happened is that your company keeps sending incorrect orders. I've been patient, but this is ridiculous. My lawyer has advised me to document everything."" - [3056-2432-5697-1232 | Turn 3] Customer: ""What happened is that your company keeps sending incorrect orders. I've been patient, but this is ridiculous. My lawyer has advised me to document everything.""  📝 Final Summary: The escalation occurred primarily due to Threat of legal action, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q9,Did the customer threaten to cancel the service?,Churn Risk,"=== Explanation === 📌 Outcome: ESCALATION 📊 Confidence: HIGH  🔍 Why did this happen? 1. Customer frustration (observed in 5 conversations)  🧾 Supporting Evidence: - [7600-3525-9408-8173 | Turn 13] Customer: ""That actually sounds useful. But I'm still frustrated about all the time I've wasted dealing with this."" - [4258-8118-7740-7542 | Turn 13] Customer: ""That actually sounds useful. But I'm still frustrated about all the time I've wasted dealing with this.""  📝 Final Summary: The escalation occurred primarily due to Customer frustration, as evidenced by repeated and unresolved customer-agent interactions.  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 1.0 🧠 Faithfulness (Hallucination Control): 1.0 🎯 Relevancy (Conversational Coherence): 1.0","IDRecall, Faithfulness, Relevancy auto-computed"
Q10,Did policy restrictions prevent resolution?,Policy Constraint,=== Explanation === 📌 Outcome: NOT_ESCALATION 📊 Confidence: LOW  === Evaluation Metrics === 🆔 IDRecall (Evidence Accuracy): 0.0 🧠 Faithfulness (Hallucination Control): 0.0 🎯 Relevancy (Conversational Coherence): 0.0,"IDRecall, Faithfulness, Relevancy auto-computed"
